AER,KZN,0.667554408910309
ASF,KZN,0.6156603562874068
ASF,MRV,0.5498929626423537
CEK,KZN,0.5859029154458248
CEK,OVB,0.39924012462150293
DME,KZN,0.20478713358183917
DME,NBC,0.5994910005806229
DME,TGK,0.6017538898196294
DME,UUA,0.6060698611661917
EGO,KGD,0.6305799657404458
EGO,KZN,0.6123128760943556
GYD,NBC,0.6872657902654904
KGD,EGO,0.6305799657404458
KZN,AER,0.667554408910309
KZN,ASF,0.6156603562874068
KZN,CEK,0.5859029154458248
KZN,DME,0.20478713358183917
KZN,EGO,0.6123128760943556
KZN,LED,0.30230936570171796
KZN,SVX,0.5806629389536037
LED,KZN,0.30230936570171796
LED,NBC,0.65304517104806
LED,UUA,0.6631918721558423
MRV,ASF,0.5498929626423537
NBC,DME,0.5994910005806229
NBC,GYD,0.6872657902654904
NBC,LED,0.65304517104806
NBC,SVX,0.5618385038261569
NJC,SVX,0.3628709346093114
NJC,UUA,0.4235611834040245
NUX,SVX,0.3975841754365771
OVB,CEK,0.39924012462150293
OVB,SVX,0.2527702291013189
SVX,KZN,0.5806629389536037
SVX,NBC,0.5618385038261569
SVX,NJC,0.3628709346093114
SVX,NUX,0.3975841754365771
SVX,OVB,0.2527702291013189
TGK,DME,0.6017538898196294
UUA,DME,0.6060698611661917
UUA,LED,0.6631918721558423
UUA,NJC,0.4235611834040245
BTK,IKT,0.554332364758696
BTK,OVB,0.6337125817531334
HTA,IKT,0.31784415629072094
IKT,BTK,0.554332364758696
IKT,HTA,0.31784415629072094
IKT,KCK,0.5729031610389621
IKT,ODO,0.3482437759483271
IKT,OVB,0.3292762699092325
IKT,UKX,0.3075643256987706
IKT,ULK,0.292983478913972
IKT,YKS,0.37391331600870814
KCK,IKT,0.5729031610389621
MJZ,OVB,0.46931870251336405
ODO,IKT,0.3482437759483271
OVB,BTK,0.6337125817531334
OVB,IKT,0.3292762699092325
UKX,IKT,0.3075643256987706
ULK,IKT,0.292983478913972
YKS,IKT,0.37391331600870814
AYP,LIM,0.28779092795798605
CUZ,LIM,0.190150341771558
CUZ,PEM,0.28456908280456883
HUU,LIM,0.27856176710082087
IQT,PCL,0.30854476311424756
IQT,TPP,0.30044914021856706
LIM,AYP,0.28779092795798605
LIM,CUZ,0.16515034177155802
LIM,HUU,0.27856176710082087
LIM,PCL,0.22108653969406875
LIM,TPP,0.23502061398163032
PCL,IQT,0.30854476311424756
PCL,LIM,0.22108653969406875
PCL,TPP,0.5318488078171335
PEM,CUZ,0.28456908280456883
TPP,IQT,0.30044914021856706
TPP,LIM,0.23502061398163032
TPP,PCL,0.5318488078171335
ABJ,BOY,0.5726561526917348
ABJ,OUA,0.16343350416679417
ACC,OUA,0.5845396078163398
BKO,ABJ,0.2686525536583457
BKO,DKR,0.21784433820572108
BKO,OUA,0.24446257432736618
BOY,ABJ,0.5726561526917348
BOY,OUA,0.5371514459770921
COO,LFW,0.1807567679904245
COO,OUA,0.587690471879182
DKR,BKO,0.21784433820572108
DKR,OUA,0.6943402353617926
LFW,OUA,0.33319994867052916
NIM,OUA,0.10917321390103155
OUA,ABJ,0.16343350416679417
OUA,ACC,0.5845396078163398
OUA,BKO,0.24446257432736618
OUA,BOY,0.5371514459770921
OUA,COO,0.587690471879182
OUA,DKR,0.6943402353617926
OUA,LFW,0.33319994867052916
OUA,NIM,0.11810178532960297
BOG,GYE,0.36012727640981795
BOG,UIO,0.20392484795023885
CLO,GYE,0.3323400457992832
GYE,BOG,0.36012727640981795
GYE,CLO,0.3323400457992832
GYE,SCY,0.24632204664785018
GYE,UIO,0.13125858927769185
OCC,UIO,0.2674424342391948
SCY,GYE,0.24632204664785018
UIO,BOG,0.20392484795023885
UIO,GYE,0.09375858927769185
UIO,OCC,0.2674424342391948
BDS,ZRH,0.28508799688792164
BOD,ZRH,0.5858689320098242
BRS,ZRH,0.6027773859134258
GVA,LPA,0.8079139743537828
LCA,ZRH,0.44540378420072524
LPA,ZRH,0.5001898178127078
RMF,ZRH,0.5374961129058149
TFS,GVA,0.5647585410496299
ZRH,BDS,0.28508799688792164
ZRH,BOD,0.5858689320098242
ZRH,BRS,0.6027773859134258
ZRH,LCA,0.44540378420072524
ZRH,LPA,0.5001898178127078
ZRH,RMF,0.5374961129058149
AJR,LYC,0.26324282651076286
ARN,GEV,0.344008104704318
ARN,HAD,0.549510805364726
ARN,JKG,0.5341151587424868
ARN,KRF,0.2920660720000888
ARN,KSD,0.5288979261727467
ARN,LYC,0.31080717071453373
ARN,MHQ,0.5136213371976871
ARN,OER,0.5469390917611501
ARN,POR,0.532574849470235
ARN,TRF,0.5486359397846114
ARN,VBY,0.274772096600779
ARN,VHM,0.3113348875263645
ARN,VXO,0.5395858766674017
GEV,ARN,0.344008104704318
GEV,KRF,0.3030182869842346
HAD,ARN,0.549510805364726
HAD,JKG,0.5156316979874837
HAD,VXO,0.26327805517958275
HMV,VHM,0.2677204514809493
JKG,ARN,0.5341151587424868
JKG,HAD,0.5156316979874837
KOK,POR,0.5290112916586769
KRF,ARN,0.2920660720000888
KRF,GEV,0.3030182869842346
KSD,ARN,0.5288979261727467
LYC,AJR,0.26324282651076286
LYC,ARN,0.31080717071453373
MHQ,ARN,0.5136213371976871
MHQ,TKU,0.5153076466278284
OER,ARN,0.5469390917611501
OSL,VXO,0.5461084869909961
POR,ARN,0.532574849470235
POR,KOK,0.5290112916586769
TKU,MHQ,0.5153076466278284
TRF,ARN,0.5486359397846114
VBY,ARN,0.274772096600779
VHM,ARN,0.3113348875263645
VHM,HMV,0.2677204514809493
VXO,ARN,0.28958587666740165
VXO,OSL,0.5461084869909961
ADQ,KLN,0.5101998050986819
KLN,KYK,0.5031647705640425
BSO,MNL,0.32395088435999225
BXU,MNL,0.253726312312765
CBO,MNL,0.26487885503963154
CGY,MNL,0.250244427963229
CRM,MNL,0.2999992405639507
DGT,MNL,0.2359976081057809
DWC,MNL,0.7250027923124933
GES,MNL,0.2817452842788635
KLO,MNL,0.12175700766110753
LGP,MNL,0.20326513855595538
MNL,BSO,0.32395088435999225
MNL,BXU,0.253726312312765
MNL,CBO,0.26487885503963154
MNL,CGY,0.250244427963229
MNL,CRM,0.2999992405639507
MNL,DGT,0.2359976081057809
MNL,DWC,0.7250027923124933
MNL,GES,0.2817452842788635
MNL,KLO,0.12175700766110753
MNL,LGP,0.20326513855595538
MNL,MPH,0.20036418663159633
MNL,OZC,0.2516574542115019
MNL,PPS,0.16465131145805723
MNL,RXS,0.20809013302672785
MNL,SUG,0.32950884264089314
MNL,TUG,0.2061314074569377
MNL,ZAM,0.26075596317139926
MPH,MNL,0.20036418663159633
OZC,MNL,0.2516574542115019
PPS,MNL,0.16465131145805723
RXS,MNL,0.20809013302672785
SUG,MNL,0.32950884264089314
TUG,MNL,0.2061314074569377
ZAM,MNL,0.26075596317139926
AUX,PMW,0.2876756295849302
BRA,BSB,0.22491199470381412
BRA,SSA,0.24806354828157962
BSB,BRA,0.22491199470381412
BSB,OPS,0.6042560140782268
BSB,RAO,0.3148011721141666
CAC,GRU,0.5816117021402435
CGB,GYN,0.24949490020352338
CGB,OPS,0.2967555379536132
CGR,DOU,0.5215226787586645
DOU,CGR,0.5215226787586645
DOU,GRU,0.5975974235381382
GIG,RAO,0.5558687262674489
GRU,CAC,0.5816117021402435
GRU,DOU,0.5975974235381382
GRU,RAO,0.1986511375878574
GRU,UBA,0.5483167273999413
GRU,UDI,0.22620169726008021
GRU,VDC,0.6241218980562248
GYN,CGB,0.24949490020352338
GYN,PMW,0.3286315204213607
GYN,RAO,0.30791983417290053
GYN,UDI,0.28007069973611387
OPS,BSB,0.6042560140782268
OPS,CGB,0.2967555379536132
PLU,RAO,0.2970785647107112
PMW,AUX,0.2876756295849302
PMW,GYN,0.3286315204213607
RAO,BSB,0.3148011721141666
RAO,GIG,0.5558687262674489
RAO,GRU,0.1986511375878574
RAO,GYN,0.30791983417290053
RAO,PLU,0.2970785647107112
RAO,SJP,0.18590429892370067
RAO,UDI,0.5281968103569217
SJP,RAO,0.18590429892370067
SSA,BRA,0.24806354828157962
SSA,VDC,0.20549920386279164
UBA,GRU,0.5483167273999413
UBA,UDI,0.5112518209509516
UDI,GRU,0.22620169726008021
UDI,GYN,0.28007069973611387
UDI,RAO,0.5281968103569217
UDI,UBA,0.5112518209509516
VDC,GRU,0.6241218980562248
VDC,SSA,0.20549920386279164
BRL,ORD,0.5333684559624035
BRL,STL,0.526108986601475
DEC,ORD,0.5279420800689294
DEC,STL,0.5196808008028678
JBR,STL,0.5360737170528208
ORD,BRL,0.5333684559624035
ORD,DEC,0.5279420800689294
STL,BRL,0.526108986601475
STL,DEC,0.5196808008028678
STL,JBR,0.5360737170528208
KTN,MTM,0.1696064547553159
MTM,KTN,0.1696064547553159
ACC,DKR,0.40536859470091013
ACC,LOS,0.16953137766412923
ACC,ROB,0.2506738059039143
BCN,BJL,0.5658390729811023
BJL,BCN,0.5658390729811023
BJL,DKR,0.14495173537155373
BJL,FNA,0.3216142434153251
CKY,OXB,0.2877784845530069
